W,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,TS1,TS2,TS3,TS4,TS5,TS6,TS7,TS8,H1,H2,H3,H4,V,NinB,NW,GW,L,W,D,Paint,LC,PVCT,C,A,PP,ABS,PC,NAT,R,ESM,i20,CF,S,PVC,Type,Pack,Stick,WPL,TC
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1900,0,0,50,4400,4860,565,350,300,0.7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,PVC,0,1,0,1.550742884
88,0,0,0,0,0,3800,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,0,96,8065,10020,565,350,300,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,DB,1,1,0,5.282370714
144,0,0,0,0,0,3800,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,6250,7225,560,470,330,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PVC,0,1,0,4.196751147
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,1600,0,0,0,72,7345,8500,330,310,350,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,DB,1,1,0,2.230223528
48,2400,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,12,48,3845,4070,565,350,300,0.6,1,20,0,0,1,0,0,0,0,0,0,0,0,0,B,1,0,0,5.894650334
57,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,1200,0,0,0,0,48,2930,3635,565,350,300,0.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PB,1,0,0,1.798229996
156,0,0,0,0,0,6000,0,0,3200,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,36,6840,7820,560,470,330,1.3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,B,1,0,1,4.073883606
38,2200,9600,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,1500,0,0,0,0,104,3745,4750,395,325,195,0.3,3,0,1,0,1,0,0,1,0,0,0,0,0,0,DB,0,1,0,1.790575646
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,96,5020,5550,475,320,420,0.6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,1,1,0,2.18148664
35,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,2365,2945,420,305,250,0.3,1,15,0,0,1,0,0,0,0,0,0,0,0,0,B,1,0,0,1.638362125
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,96,3105,3450,320,310,340,0.3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,1,1,0,1.55104718
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,60,4260,4735,420,305,250,0.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PB,0,0,0,1.382505014
508,0,0,0,0,1800,350,0,0,0,0,0,2300,0,0,0,0,600,0,0,0,0,0,0,0,12000,9250,9400,530,490,410,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,BOX,1,0,0,22.64355836
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,80,6540,6920,485,395,415,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,DB,1,1,0,6.481409045
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,192,3450,3800,320,310,340,0.1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,C,1,1,0,1.323771376
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,50,7400,7900,425,390,810,0.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,1,0,0,3.889994555
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,144,2470,2750,320,310,340,0.1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,PVC,1,1,0,0.839745444
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,50,11450,12350,560,470,330,1.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,1,0,0,3.240743238
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,144,4980,5170,575,280,320,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,C,1,0,0,3.397806263
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,48,4450,4920,330,310,350,0.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,C,1,0,0,2.128676718
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,48,6432,6965,565,350,300,0.6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,1,0,0,1.183592733
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,96,7200,7400,430,320,665,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,S,1,0,0,6.074838241
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,36,2304,2986,420,305,250,0.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,S,0,1,0,2.70909617
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,36,2844,3100,565,350,300,0.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,S,0,1,0,2.661312723
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,36,4032,4980,565,350,300,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,S,0,1,0,3.070344775
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,4400,0,800,0,24,6250,6900,655,350,650,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,C,0,1,1,6.378694555
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,48,5456,6155,565,350,300,0.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,PB,1,0,0,3.862246346
32,7200,7200,0,0,0,3200,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3120,3540,420,305,250,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,0,0,0,0.852750638
62,0,0,0,0,0,0,0,0,0,0,0,0,0,4600,4000,0,0,0,0,0,0,0,0,0,96,5047,5390,580,355,430,0.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,DB,1,1,0,4.504487046
48,0,0,0,0,0,0,0,0,0,0,0,0,0,4600,4000,0,0,0,0,0,0,0,0,0,96,4704,5035,590,315,410,0.4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,C,1,1,0,2.995057717
200,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6012,6310,610,390,605,1.6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,DB,1,0,1,7.947164403
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,72,6500,6950,515,420,310,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,DB,1,0,0,12.37251018
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,72,6500,6950,515,420,310,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,DB,1,0,0,4.204223766
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,72,6560,6800,515,420,310,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,DB,1,0,0,2.98367592
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,72,7000,7200,515,420,310,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,DB,1,0,0,2.240710913
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,96,11965,12102,630,470,470,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,BOX,1,1,0,2.918856839
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,36,6264,6750,560,470,330,1.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,0,0,0,5.938579073
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,0,0,0,0,144,5170,5420,400,370,425,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,PB,1,0,0,4.067618184
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,24,5800,6300,505,360,620,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,C,0,1,0,10.15056478
80,0,0,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,80,7570,7860,400,330,710,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,C,1,0,0,3.556876499
150,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,40,7110,7440,400,330,710,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,C,1,0,0,3.805361131
84,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,1050,0,0,0,0,64,6250,8820,505,360,620,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,C,1,0,0,9.222228212
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,600,0,0,0,32,5500,5800,505,360,620,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,DB,1,0,0,7.900046513
82,1200,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,9792,10442,560,470,330,0.2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,C,1,1,0,3.283349628
